feature,F_statistic,p_value
mel_108_mean_segstd,4.140472648615792,0.047189040400128744
mfcc_21_median_segmean,4.128472588746706,0.04749797283195683
mel_116_mean_segmean,4.097641350068229,0.04830184391281052
mfcc_17_std_segmean,4.082756261516683,0.04869524078239198
mel_107_mean_segmean,4.059619774793898,0.049313661073710754
mel_117_mean_segstd,4.0033290766356755,0.0508543227475474
mel_108_mean_segmean,3.9078845543748706,0.05358802580517143
mfcc_18_mean_segmean,3.882059266611741,0.05435501871764969
mel_103_mean_segmean,3.813998624498626,0.0564344982088542
mfcc_31_median_segmean,3.748001110838622,0.058534377285289714
mfcc_04_max_segmean,3.731404201263132,0.059075823719939045
mfcc_07_max_segmean,3.7273171747998295,0.05920999716383493
mel_102_mean_segstd,3.724341360198835,0.05930790074009788
mfcc_delta_02_std_segmean,3.7062245955676585,0.05990778211876722
mfcc_delta_09_std_segmean,3.6776543679885014,0.0608673696381097
mel_121_mean_segstd,3.65528416391973,0.061630496015696375
mel_118_mean_segstd,3.6522712312325893,0.061734078064206124
spectral_centroid_std_segstd,3.6419779685317306,0.06208939667270555
mel_127_mean_segstd,3.605759211150346,0.06335762835913263
mfcc_21_mean_segmean,3.5647561688198164,0.06482786406054697
mfcc_11_median_segstd,3.56270982445293,0.0649022162379316
mel_009_mean_segmean,3.542491563119966,0.06564189506112356
mel_107_mean_segstd,3.489684974435665,0.06761796661843085
mel_103_mean_segstd,3.462612446405557,0.06865639403043698
mfcc_34_mean_segstd,3.358131508014811,0.07283223890635344
mfcc_delta_40_std_segstd,3.3509544764735493,0.07312922193276897
mfcc_delta_25_mean_segmean,3.3369511713217817,0.07371253736959694
chroma_12_median_segmean,3.311328471344574,0.07479323959335384
chroma_04_mean_segmean,3.304765512997895,0.07507286223212334
mel_106_mean_segstd,3.2881726938824776,0.07578499604622015
mfcc_delta_39_std_segstd,3.270701409434554,0.07654292943617305
spectral_bandwidth_std_segmean,3.264588346452777,0.07681010483041868
mfcc_delta_15_std_segstd,3.1799460556292893,0.0806177729808562
chroma_04_median_segmean,3.1692460214056917,0.08111386091078485
chroma_10_std_segstd,3.1655480063338617,0.08128610079592999
mel_120_mean_segstd,3.1598226704470718,0.08155356822498934
mfcc_28_max_segstd,3.1559574259637184,0.08173469189565773
chroma_01_mean_segstd,3.1301366462784475,0.08295617900038983
mfcc_15_min_segstd,3.124770736703812,0.08321256096029592
mfcc_02_max_segstd,3.1137698678677315,0.08374094147950212
chroma_11_std_segstd,3.0941704799016665,0.08469159573534174
chroma_04_max_segstd,3.0847890016039767,0.0851508859951937
mfcc_40_std_segstd,3.063034084181942,0.08622666167718636
mel_005_mean_segstd,3.0488487561160778,0.08693628000137234
mel_006_mean_segmean,3.0403892600889746,0.08736256343387162
spectral_flatness_mean_segstd,3.032501487419493,0.08776213871177739
mel_115_mean_segstd,2.9854681736095294,0.09018750226770293
chroma_12_mean_segmean,2.976352956699354,0.09066615655520278
mel_119_mean_segstd,2.9721009649931394,0.09089040598778315
mfcc_delta_38_std_segstd,2.9701498893910636,0.09099351292478357
mel_122_mean_segstd,2.9426874915388526,0.09245876225971347
mfcc_delta_03_std_segmean,2.916241776247268,0.09389476409582177
mel_114_mean_segstd,2.884288787014228,0.09566324545453077
mel_105_mean_segstd,2.855640675991954,0.09728061391759621
mfcc_delta_36_mean_segmean,2.8516265798001714,0.0975096764145835
mel_101_mean_segstd,2.846104483183963,0.0978257823068496
spectral_contrast_3_std_segmean,2.844351944611489,0.09792634469443258
mfcc_05_std_segstd,2.8411694710126554,0.0981092550865596
mel_117_mean_segmean,2.8394065759391234,0.09821074132515081
mel_006_mean_segstd,2.799862070802947,0.1005185272361717
mel_089_mean_segmean,2.7966798969187336,0.10070687071932594
mel_113_mean_segstd,2.795865046343938,0.10075516313375832
mfcc_11_mean_segstd,2.7931240427356094,0.10091780099966181
mfcc_01_min_segmean,2.791464867893597,0.10101639187216065
